Id,name,money,nationality,teams
luke-bradshaw,Luke Bradshaw,0,England,empty
gideon-browne,Gideon Browne,0,Netherlands,empty
erick-daniel-caballero-reyes,Erick Daniel Caballero Reyes,0,empty,empty
miguel-calvo,Miguel Calvo,0,Spain,empty
patricio-cathalifaud,Patricio Cathalifaud,0,Chile,empty
kevin-chiche,Kevin Chiche,0,France,empty
timo-christ,Timo Christ,0,Germany,empty
matteo-cirigliano,Matteo Cirigliano,0,Italy,empty
alessandro-ciurli,Alessandro Ciurli,0,Italy,empty
chris-collins,Chris Collins,0,United States of America,empty
davide-conterno,Davide Conterno,0,Italy,empty
stephen-croke,Stephen Croke,0,Scotland,empty
carlos-cutrim,Carlos Cutrim,0,Brazil,empty
tyler-datschefski,Tyler Datschefski,0,United States of America,empty
william-epperson,William Epperson,0,United States of America,empty
remi-fortier,Remi Fortier,0,France,"[{'season': 2018, 'team': 'Waaagh Taverne Paris'}]"
michal-gajewski,Michal Gajewski,0,Poland,empty
andrea-gereon,Andrea Gereon,0,Italy,empty
thomas-gerleve,Thomas Gerleve,0,Germany,empty
jorge-gomez,Jorge Gomez,0,United Kingdom of Great Britain and Northern Ireland,empty
miguel-guerrero-leon,Miguel Guerrero Leon,0,Spain,empty
rei-hirayama,Rei Hirayama,0,Japan,empty
makoto-horiuchi,Makoto Horiuchi,0,Japan,empty
lorenz-horst,Lorenz Horst,0,Germany,empty
tai-chi-huang,Tai-Chi Huang,0,"Taiwan, Province of China",empty
tsukasa-kawaguchi,Tsukasa Kawaguchi,0,Japan,empty
yuta-kitagawa,Yuta Kitagawa,0,Japan,empty
michael-letsch,Michael Letsch,0,United States of America,empty
cedric-le-logeais,Cédric Le Logeais,0,France,empty
jin-liu,Jin Liu,0,China,empty
jeremt-maciolek,Jeremt Maciolek,0,United States of America,empty
alexey-matyziny,Alexey Matyziny,0,Ukraine,empty
tyler-mccrea,Tyler McCrea,0,United States of America,empty
max-medeiros,Max Medeiros,0,United States of America,empty
juan-miguel-mendoza,Juan Miguel Mendoza,0,Spain,empty
guilherme-merjam,Guilherme Merjam,0,Brazil,"[{'season': 2016, 'team': 'Ligamagic'}, {'season': 2017, 'team': 'Cardhoarder Brazil'}, {'season': 2018, 'team': 'Magicsur'}]"
roope-metsa,Roope Metsä,0,Finland,"[{'season': 2018, 'team': 'Bolt the Bird'}]"
mizuki-morishita,Mizuki Morishita,0,Japan,empty
ronald-muller,Ronald Müller,0,Germany,empty
pedro-neves,Pedro Neves,0,Brazil,empty
thien-nguyen,Thien Nguyen,0,United States of America,"[{'season': 2016, 'team': 'Fire Squad'}]"
david-ogayar,David Ogayar,0,Spain,empty
daniel-perlmutter,Daniel Perlmutter,0,United States of America,empty
julien-perrault,Julien Perrault,0,Canada,empty
riccardo-pezzato,Riccardo Pezzato,0,Italy,empty
mitja-renko,Mitja Renko,0,empty,empty
mattia-rizzi,Mattia Rizzi,0,Italy,"[{'season': 2017, 'team': 'MTGOTraders'}, {'season': 2018, 'team': 'The Comic Book Store'}]"
james-rochford,James Rochford,0,United States of America,empty
mario-rodenas-lopez,Mario Rodenas Lopez,0,Spain,empty
mateo-luna,Mateo Luna,0,Colombia,empty
douglas-rosa,Douglas Rosa,0,Brazil,empty
jeremy-sager,Jeremy Sager,0,United States of America,empty
anthony-sansone,Anthony Sansone,0,United States of America,empty
julian-schuhmann,Julian Schuhmann,0,Germany,empty
