Source,Target,relation,money,team
bo-yi-wu,regional-championship-taipei-city-2-2024,TopFinish,500,
yang-chen-meng,regional-championship-taipei-city-2-2024,TopFinish,300,
sek-un-kho---,regional-championship-taipei-city-2-2024,TopFinish,300,
luang-wei-liau,regional-championship-taipei-city-2-2024,TopFinish,300,
samuel-chang,regional-championship-taipei-city-2-2024,TopFinish,300,
stefan-schutz,champions-showcase-1-2024,TopFinish,20000,
sam-rolph,champions-showcase-1-2024,TopFinish,15000,
benny-zeoli,champions-showcase-1-2024,TopFinish,7000,
jan-moritz-merkel,champions-showcase-1-2024,TopFinish,6500,
andreas-petersen,champions-showcase-1-2024,TopFinish,6000,
martin-quiroga,champions-showcase-1-2024,TopFinish,5500,
anton-samoshin,champions-showcase-1-2024,TopFinish,5000,
lucas-duchow,champions-showcase-1-2024,TopFinish,5000,
jonathan-lobo-melamed,regional-championship-sao-paulo-2-2024,TopFinish,5000,
renan-correa,regional-championship-sao-paulo-2-2024,TopFinish,4000,
william-araujo,regional-championship-sao-paulo-2-2024,TopFinish,3000,
lucas-fernandes,regional-championship-sao-paulo-2-2024,TopFinish,3000,
rodrigo-pinheiro,regional-championship-sao-paulo-2-2024,TopFinish,1000,
douglas-rosa,regional-championship-sao-paulo-2-2024,TopFinish,1000,
fernando-ricardo-fernando--,regional-championship-sao-paulo-2-2024,TopFinish,1000,
diego-almeida,regional-championship-sao-paulo-2-2024,TopFinish,1000,
liam-hoban,regional-championship-montreal-2024,TopFinish,5000,
asha-mills-emmett,regional-championship-montreal-2024,TopFinish,3000,
edgar-magalhaes,regional-championship-montreal-2024,TopFinish,2500,
shawn-dhaliwal,regional-championship-montreal-2024,TopFinish,2500,
roby-moreau,regional-championship-montreal-2024,TopFinish,1500,
noah-michaud,regional-championship-montreal-2024,TopFinish,1500,
dan-macdonald,regional-championship-montreal-2024,TopFinish,1500,
jean-philippe-goyet,regional-championship-montreal-2024,TopFinish,1500,
yoshihiko-ikawa,pro-tour-outlaws-of-thunder-junction-2024,TopFinish,50000,
yuta-takahashi,pro-tour-outlaws-of-thunder-junction-2024,TopFinish,30000,
takumi-matsuura,pro-tour-outlaws-of-thunder-junction-2024,TopFinish,15000,
arne-huschenbeth,pro-tour-outlaws-of-thunder-junction-2024,TopFinish,15000,
rei-zhang,pro-tour-outlaws-of-thunder-junction-2024,TopFinish,10000,
lucas-duchow,pro-tour-outlaws-of-thunder-junction-2024,TopFinish,10000,
jason-ye,pro-tour-outlaws-of-thunder-junction-2024,TopFinish,10000,
sean-goddard,pro-tour-outlaws-of-thunder-junction-2024,TopFinish,10000,
toni-ramis-pascual,arena-championship-5-2024,TopFinish,30000,
ryan-condon,arena-championship-5-2024,TopFinish,20000,
jesse-hampton,arena-championship-5-2024,TopFinish,15000,
david-inglis,arena-championship-5-2024,TopFinish,15000,
arne-huschenbeth,arena-championship-5-2024,TopFinish,10000,
kouhei-komiyama,arena-championship-5-2024,TopFinish,10000,
simonas-gerve,arena-championship-5-2024,TopFinish,10000,
muhan-yu,arena-championship-5-2024,TopFinish,10000,
lucas-lim,regional-championship-bangkok-2024,TopFinish,4500,
chung-wye-hee,regional-championship-bangkok-2024,TopFinish,2300,
christian-wijaya,regional-championship-bangkok-2024,TopFinish,1100,
rick-hup-beng-lee,regional-championship-bangkok-2024,TopFinish,1100,
bing-yang-chia,regional-championship-bangkok-2024,TopFinish,500,
justin-rigor,regional-championship-bangkok-2024,TopFinish,500,
gavin-teo,regional-championship-bangkok-2024,TopFinish,500,
spencer-see,regional-championship-bangkok-2024,TopFinish,500,
muhan-yu,regional-championship-guangzhou-2024,TopFinish,5000,
hanzhi-li,regional-championship-guangzhou-2024,TopFinish,2500,
yuchen-liu,regional-championship-guangzhou-2024,TopFinish,1250,
liu-guanlin,regional-championship-guangzhou-2024,TopFinish,1250,
hua-lin-bai,regional-championship-guangzhou-2024,TopFinish,1000,
jiaming-zheng,regional-championship-guangzhou-2024,TopFinish,1000,
hao-feng,regional-championship-guangzhou-2024,TopFinish,1000,
yi-yang,regional-championship-guangzhou-2024,TopFinish,1000,
james-wilks,regional-championship-melbourne-1-2024,TopFinish,5000,
james-arthur,regional-championship-melbourne-1-2024,TopFinish,2500,
james-larsen-scott,regional-championship-melbourne-1-2024,TopFinish,1250,
